జ్గ	\Wæ
జ్ఘ	\œæ
జ్ఙ	\Zæ
జ్చ	\eæ
జ్ఛ	\dæ
జ్జ	\jæ
జ్ఝ	\næ
జ్ఞ	\qæ
జ్ట	\sæ
జ్ఠ	\xæ
జ్డ	\zæ
జ్ఢ	\{æ
జ్ణ	\Šæ
జ్త	\ªæ
జ్థ	\¦æ
జ్ద	\ªæ
జ్ధ	\Éæ
జ్న	\Ýæ
జ్ప	\µæ
జ్ఫ	\¹æ
జ్బ	\¾æ
జ్భ	\Âæ
జ్మ	\šæ
జ్య	\Ÿæ
జ్ర	\–æ
జ్ల	\Ïæ
జ్వ	\Óæ
జ్శ	\Øæ
జ్ష	\Ûæ
జ్స	\Þæ
జ్హ	\åæ
జ్ళ	\åæ
జ్క్ష	\<æ
జ్ఱ	\‚æ
ఝ్క	mŒ
ఝ్ఖ	mU
ఝ్గ	mW
ఝ్ఘ	mœ
ఝ్ఙ	mZ
ఝ్చ	me
ఝ్ఛ	md
ఝ్జ	mj
ఝ్ఝ	mn
ఝ్ఞ	mq
ఝ్ట	ms
ఝ్ఠ	mx
ఝ్డ	mz
ఝ్ఢ	m{
ఝ్ణ	mŠ
ఝ్త	mª
ఝ్థ	m¦
ఝ్ద	mª
ఝ్ధ	mÉ
ఝ్న	mÝ
ఝ్ప	mµ
ఝ్ఫ	m¹
ఝ్బ	m¾
ఝ్భ	mÂ
ఝ్మ	mš
ఝ్య	mŸ
ఝ్ర	m–
ఝ్ల	mÏ
ఝ్వ	mÓ
ఝ్శ	mØ
ఝ్ష	mÛ
ఝ్స	mÞ
ఝ్హ	må
ఝ్ళ	må
ఝ్క్ష	m<
ఝ్ఱ	m‚
ఞ్క	pŒ
ఞ్ఖ	pU
ఞ్గ	pW
ఞ్ఘ	pœ
ఞ్ఙ	pZ
ఞ్చ	pe
ఞ్ఛ	pd
ఞ్జ	pj
ఞ్ఝ	pn
ఞ్ఞ	pq
ఞ్ట	ps
ఞ్ఠ	px
ఞ్డ	pz
ఞ్ఢ	p{
ఞ్ణ	pŠ
ఞ్త	pª
ఞ్థ	p¦
ఞ్ద	pª
ఞ్ధ	pÉ
ఞ్న	pÝ
ఞ్ప	pµ
ఞ్ఫ	p¹
ఞ్బ	p¾
ఞ్భ	pÂ
ఞ్మ	pš
ఞ్య	pŸ
ఞ్ర	p–
ఞ్ల	pÏ
ఞ్వ	pÓ
ఞ్శ	pØ
ఞ్ష	pÛ
ఞ్స	pÞ
ఞ్హ	på
ఞ్ళ	på
ఞ్క్ష	p<
ఞ్ఱ	p‚
ట్క	rŒ
ట్ఖ	rU
ట్గ	rW
ట్ఘ	rœ
ట్ఙ	rZ
ట్చ	re
ట్ఛ	rd
ట్జ	rj
ట్ఝ	rn
ట్ఞ	rq
ట్ట	rs
ట్ఠ	rx
ట్డ	rz
ట్ఢ	r{
ట్ణ	rŠ
ట్త	rª
ట్థ	r¦
ట్ద	rª
ట్ధ	rÉ
ట్న	rÝ
ట్ప	rµ
ట్ఫ	r¹
ట్బ	r¾
ట్భ	rÂ
ట్మ	rš
ట్య	rŸ
ట్ర	r–
ట్ల	rÏ
ట్వ	rÓ
ట్శ	rØ
ట్ష	rÛ
ట్స	rÞ
ట్హ	rå
ట్ళ	rå
ట్క్ష	r<
ట్ఱ	r‚
ఠ్క	uŒ
ఠ్ఖ	uU
ఠ్గ	uW
ఠ్ఘ	uœ
ఠ్ఙ	uZ
ఠ్చ	ue
ఠ్ఛ	ud
ఠ్జ	uj
ఠ్ఝ	un
ఠ్ఞ	uq
ఠ్ట	us
ఠ్ఠ	ux
ఠ్డ	uz
ఠ్ఢ	u{
ఠ్ణ	uŠ
ఠ్త	uª
ఠ్థ	u¦
ఠ్ద	uª
ఠ్ధ	uÉ
ఠ్న	uÝ
ఠ్ప	uµ
ఠ్ఫ	u¹
ఠ్బ	u¾
ఠ్భ	uÂ
ఠ్మ	uš
ఠ్య	uŸ
ఠ్ర	u–
ఠ్ల	uÏ
ఠ్వ	uÓ
ఠ్శ	uØ
ఠ్ష	uÛ
ఠ్స	uÞ
ఠ్హ	uå
ఠ్ళ	uå
ఠ్క్ష	u<
ఠ్ఱ	u‚
డ్క	yŒæ
డ్ఖ	yUæ
డ్గ	yWæ
డ్ఘ	yœæ
డ్ఙ	yZæ
డ్చ	yeæ
డ్ఛ	ydæ
డ్జ	yjæ
డ్ఝ	ynæ
డ్ఞ	yqæ
డ్ట	ysæ
డ్ఠ	yxæ
డ్డ	yzæ
డ్ఢ	y{æ
డ్ణ	yŠæ
డ్త	yªæ
డ్థ	y¦æ
డ్ద	yªæ
డ్ధ	yÉæ
డ్న	yÝæ
డ్ప	yµæ
డ్ఫ	y¹æ
డ్బ	y¾æ
డ్భ	yÂæ
డ్మ	yšæ
డ్య	yŸæ
డ్ర	y–æ
డ్ల	yÏæ
డ్వ	yÓæ
డ్శ	yØæ
డ్ష	yÛæ
డ్స	yÞæ
డ్హ	yåæ
డ్ళ	yåæ
డ్క్ష	y<æ
డ్ఱ	y‚æ
ఢ్క	|Œ
ఢ్ఖ	|U
ఢ్గ	|W
ఢ్ఘ	|œ
ఢ్ఙ	|Z
ఢ్చ	|e
ఢ్ఛ	|d
ఢ్జ	|j
ఢ్ఝ	|n
ఢ్ఞ	|q
ఢ్ట	|s
ఢ్ఠ	|x
ఢ్డ	|z
ఢ్ఢ	|{
ఢ్ణ	|Š
ఢ్త	|ª
ఢ్థ	|¦
ఢ్ద	|ª
ఢ్ధ	|É
ఢ్న	|Ý
ఢ్ప	|µ
ఢ్ఫ	|¹
ఢ్బ	|¾
ఢ్భ	|Â
ఢ్మ	|š
ఢ్య	|Ÿ
ఢ్ర	|–
ఢ్ల	|Ï
ఢ్వ	|Ó
ఢ్శ	|Ø
ఢ్ష	|Û
ఢ్స	|Þ
ఢ్హ	|å
ఢ్ళ	|å
ఢ్క్ష	|<
ఢ్ఱ	|‚
ణ్క	~Œæ
ణ్ఖ	~Uæ
ణ్గ	~Wæ
ణ్ఘ	~œæ
ణ్ఙ	~Zæ
ణ్చ	~eæ
ణ్ఛ	~dæ
ణ్జ	~jæ
ణ్ఝ	~næ
ణ్ఞ	~qæ
ణ్ట	~sæ
ణ్ఠ	~xæ
ణ్డ	~zæ
ణ్ఢ	~{æ
ణ్ణ	~Šæ
ణ్త	~ªæ
ణ్థ	~¦æ
ణ్ద	~ªæ
ణ్ధ	~Éæ
ణ్న	~Ýæ
ణ్ప	~µæ
ణ్ఫ	~¹æ
ణ్బ	~¾æ
ణ్భ	~Âæ
ణ్మ	~šæ
ణ్య	~Ÿæ
ణ్ర	~–æ
ణ్ల	~Ïæ
ణ్వ	~Óæ
ణ్శ	~Øæ
ణ్ష	~Ûæ
ణ్స	~Þæ
ణ్హ	~åæ
ణ్ళ	~åæ
ణ్క్ష	~<æ
ణ్ఱ	~‚æ
త్క	™Œæ
త్ఖ	™Uæ
త్గ	™Wæ
త్ఘ	™œæ
త్ఙ	™Zæ
త్చ	™eæ
త్ఛ	™dæ
త్జ	™jæ
త్ఝ	™næ
త్ఞ	™qæ
త్ట	™sæ
త్ఠ	™xæ
త్డ	™zæ
త్ఢ	™{æ
త్ణ	™Šæ
త్త	™ªæ
త్థ	™¦æ
త్ద	™ªæ
త్ధ	™Éæ
త్న	™Ýæ
త్ప	™µæ
త్ఫ	™¹æ
త్బ	™¾æ
త్భ	™Âæ
త్మ	™šæ
త్య	™Ÿæ
త్ర	™–æ
త్ల	™Ïæ
త్వ	™Óæ
త్శ	™Øæ
త్ష	™Ûæ
త్స	™Þæ
త్హ	™åæ
త్ళ	™åæ
త్క్ష	™<æ
త్ఱ	™‚æ
థ్క	£Œæ
థ్ఖ	£Uæ
థ్గ	£Wæ
థ్ఘ	£œæ
థ్ఙ	£Zæ
థ్చ	£eæ
థ్ఛ	£dæ
థ్జ	£jæ
థ్ఝ	£næ
థ్ఞ	£qæ
థ్ట	£sæ
థ్ఠ	£xæ
థ్డ	£zæ
థ్ఢ	£{æ
థ్ణ	£Šæ
థ్త	£ªæ
థ్థ	£¦æ
థ్ద	£ªæ
థ్ధ	£Éæ
థ్న	£Ýæ
థ్ప	£µæ
థ్ఫ	£¹æ
థ్బ	£¾æ
థ్భ	£Âæ
థ్మ	£šæ
థ్య	£Ÿæ
థ్ర	£–æ
థ్ల	£Ïæ
థ్వ	£Óæ
థ్శ	£Øæ
థ్ష	£Ûæ
థ్స	£Þæ
థ్హ	£åæ
థ్ళ	£åæ
థ్క్ష	£<æ
థ్ఱ	£‚æ
ద్క	§Œæ
ద్ఖ	§Uæ
ద్గ	§Wæ
ద్ఘ	§œæ
ద్ఙ	§Zæ
ద్చ	§eæ
ద్ఛ	§dæ
ద్జ	§jæ
ద్ఝ	§næ
ద్ఞ	§qæ
ద్ట	§sæ
ద్ఠ	§xæ
ద్డ	§zæ
