క	aæ
భి	À
భీ	Á
భు	¿î
భూ	¿ï
భృ	¿#
భౄ	¿#
భె	¿ð
భే	¿ñ
భై	¿ò
భొ	¿ö
భో	¿ø
భౌ	¿ú
భం	¿æÆ
భః	¿æ:
భ్	¿¢
మ	Äæ
మా	Äé
మి	Äì
మీ	Äí
ము	Äî
మూ	Äï
మృ	Ä#
మౄ	Ä#
మె	Äð
మే	Äñ
మై	Äò
మొ	Äö
మో	Äø
మౌ	Äú
మం	ÄæÆ
మః	Äæ:
మ్	Ä¢
య	Åæ
యా	Åé
యి	Åì
యీ	Åí
యు	Åî
యూ	Åï
యృ	Å#
యౄ	Å#
యె	Åð
యే	Åñ
యై	Åò
యొ	Åö
యో	Åø
యౌ	Åú
యం	ÅæÆ
యః	Åæ:
య్	Å¢
ర	ˆæ
రా	ˆé
రి	Ç
రీ	È
రు	ˆî
రూ	ˆï
రృ	ˆ#
రౄ	ˆ#
రె	ˆð
రే	ˆñ
రై	ˆò
రొ	ˆö
రో	ˆø
రౌ	ˆú
రం	ˆæÆ
రః	ˆæ:
ర్	ˆ¢
ల	Ëæ
లా	Ëé
లి	Í
లీ	Î
లు	Ëî
లూ	Ëï
లృ	Ë#
లౄ	Ë#
లె	Ëð
లే	Ëñ
లై	Ëò
లొ	Ëö
లో	Ëø
లౌ	Ëú
లం	ËæÆ
లః	Ëæ:
ల్	Ë¢
వ	Ðæ
వా	Ðé
వి	Ñ
వీ	Ðí
వు	Ðî
వూ	Ðï
వృ	Ð#
వౄ	Ð#
వె	Ðð
వే	Ðñ
వై	Ðò
వొ	Ðö
వో	Ðø
వౌ	Ðú
వం	ÐæÆ
వః	Ðæ:
వ్	Ð¢
శ	Ôæ
శా	Ôé
శి	Õ
శీ	Ö
శు	Ôî
శూ	Ôï
శృ	Ô#
శౄ	Ô#
శె	Ôð
శే	Ôñ
శై	Ôò
శొ	Ôö
శో	Ôø
శౌ	Ôú
శం	ÔæÆ
శః	Ôæ:
శ్	Ô¢
ష	Ùæ
షా	Ùé
షి	Ú
షీ	Ùí
షు	Ùî
షూ	Ùï
షృ	Ù#
షౄ	Ù#
షె	Ùð
షే	Ùñ
షై	Ùò
షొ	Ùö
షో	Ùø
షౌ	Ùú
షం	ÙæÆ
షః	Ùæ:
ష్	Ù¢
స	Üæ
సా	Üé
సి	Üì
సీ	Üí
సు	Üî
సూ	Üï
సృ	Ü#
సౄ	Ü#
సె	Üð
సే	Üñ
సై	Üò
సొ	Üö
సో	Üø
సౌ	Üú
సం	ÜæÆ
సః	Üæ:
స్	Ü¢
హ	˜æ
హా	˜é
హి	à
హీ	˜í
హు	˜î
హూ	˜ï
హృ	˜#
హౄ	˜#
హె	˜ð
హే	˜ñ
హై	˜ò
హొ	˜ö
హో	˜ø
హౌ	˜ú
హం	˜æÆ
హః	˜æ:
హ్	˜¢
ళ	Ãæ
ళా	Ãé
ళి	â
ళీ	ã
ళు	Ãî
ళూ	Ãï
ళృ	Ã#
ళౄ	Ã#
ళె	Ãð
ళే	Ãñ
ళై	Ãò
ళొ	Ãö
ళో	Ãø
ళౌ	Ãú
ళం	ÃæÆ
ళః	Ãæ:
ళ్	Ã¢
క్ష	„
క్షా	„é
క్షి	„ì
క్షీ	„í
క్షు	„î
క్షూ	„ï
క్షృ	„#
క్షౄ	„#
క్షె	„ð
క్షే	„ñ
క్షై	„ò
క్షొ	„ö
క్షో	„ø
క్షౌ	„ú
క్షం	„Æ
క్షః	„:
క్ష్	„¢
ఱ	‚
ఱా	‚é
ఱి	‚ì
ఱీ	‚í
ఱు	‚î
ఱూ	‚ï
ఱృ	‚#
ఱౄ	‚#
ఱె	‚ð
ఱే	‚ñ
ఱై	‚ò
ఱొ	‚ö
ఱో	‚ø
ఱౌ	‚ú
ఱం	‚Æ
ఱః	‚:
ఱ్	‚¢
