0xba (186): adv= 493 x:41..455 y:0..360
0xbb (187): adv= 311 x:41..475 y:0..359
0xbc (188): adv= 534 x:42..495 y:0..440
0xbd (189): adv= 533 x:41..494 y:0..555
0xbe (190): adv= 290 x:-111..264 y:-299..318
0xbf (191): adv= 292 x:42..456 y:-106..360
0xc0 (192): adv= 534 x:42..495 y:-116..440
0xc1 (193): adv= 533 x:41..494 y:-106..555
0xc2 (194): adv= 290 x:-114..265 y:-358..323
0xc3 (195): adv= 192 x:-112..237 y:-329..302
0xc4 (196): adv= 449 x:33..615 y:0..360
0xc5 (197): adv= 228 x:-42..256 y:-309..308
0xc6 (198): adv= 206 x:32..379 y:0..349
0xc7 (199): adv= 419 x:36..383 y:0..514
0xc8 (200): adv= 418 x:35..382 y:0..625
0xc9 (201): adv= 267 x:34..486 y:-106..360
0xca (202): adv=  40 x:-470..-60 y:-303..-25
0xcb (203): adv= 453 x:34..419 y:0..360
0xcc (204): adv= 324 x:33..493 y:0..360
0xcd (205): adv= 466 x:34..429 y:0..540
0xce (206): adv= 466 x:34..429 y:0..655
0xcf (207): adv=  40 x:-414..-60 y:-293..-83
0xd0 (208): adv= 194 x:21..401 y:0..361
0xd1 (209): adv= 447 x:22..407 y:0..440
0xd2 (210): adv= 446 x:22..407 y:0..555
0xd3 (211): adv= 270 x:-101..284 y:-214..334
0xd4 (212): adv= 178 x:17..354 y:0..361
0xd5 (213): adv= 380 x:19..362 y:0..510
0xd6 (214): adv= 370 x:19..337 y:0..615
0xd7 (215): adv= 377 x:41..541 y:-5..351
0xd8 (216): adv= 204 x:-149..169 y:-319..297
0xd9 (217): adv= 434 x:21..521 y:-99..355
0xda (218): adv= 400 x:21..550 y:-104..445
0xdb (219): adv=  40 x:-532..-60 y:-316..-22
0xdc (220): adv= 448 x:26..411 y:-7..360
0xdd (221): adv= 396 x:26..416 y:-7..450
0xde (222): adv= 261 x:-144..231 y:-245..317
0xdf (223): adv= 458 x:21..637 y:0..360
0xe0 (224): adv= 658 x:12..637 y:0..504
0xe1 (225): adv=  40 x:-419..178 y:-299..-20
0xe2 (226): adv= 224 x:23..398 y:0..360
0xe3 (227): adv= 443 x:22..417 y:0..470
0xe4 (228): adv= 445 x:23..418 y:0..585
0xe5 (229): adv= 233 x:-184..199 y:-288..337
0xe6 (230): adv=  40 x:-104..196 y:320..503
0xe7 (231): adv=  40 x:0..329 y:336..504
0xe8 (232): adv=  40 x:-183..117 y:320..499
0xe9 (233): adv= 463 x:-202..442 y:185..368
0xea (234): adv= 413 x:-14..392 y:185..363
0xeb (235): adv= 270 x:-359..249 y:132..305
0xec (236): adv=  40 x:-106..131 y:322..563
0xed (237): adv=  40 x:0..237 y:332..573
0xee (238): adv=  40 x:-111..126 y:322..678
0xef (239): adv=  40 x:0..229 y:327..683
0xf0 (240): adv=  40 x:-246..117 y:321..485
0xf1 (241): adv=  40 x:-267..136 y:320..483
0xf2 (242): adv=  78 x:0..252 y:327..490
0xf3 (243): adv=  40 x:-246..121 y:320..599
0xf4 (244): adv=  40 x:-271..136 y:320..599
0xf5 (245): adv=  78 x:0..253 y:327..611
0xf6 (246): adv= 427 x:-150..427 y:320..510
0xf7 (247): adv= 268 x:-371..247 y:146..318
0xf8 (248): adv= 425 x:-147..425 y:320..625
0xf9 (249): adv= 262 x:-377..241 y:141..429
0xfa (250): adv= 452 x:-141..452 y:301..483
0xfb (251): adv= 255 x:-331..234 y:161..333
0xfc (252): adv= 179 x:0..5 y:0..5
0xfd (253): adv= 200 x:0..5 y:0..5
0xfe (254): adv= 242 x:0..5 y:0..5
0xff (255): adv= 205 x:0..5 y:0..5
0x152 (338): adv=  40 x:-87..255 y:320..626
0x153 (339): adv= 438 x:21..401 y:-116..365
0x160 (352): adv=  40 x:-158..176 y:320..594
0x161 (353): adv= 487 x:-162..454 y:-209..344
0x178 (376): adv= 387 x:-85..407 y:321..510
0x192 (402): adv=  40 x:-599..-60 y:-333..-21
0x2c6 (710): adv=  40 x:-449..1 y:-300..-27
0x2dc (732): adv= 483 x:-60..498 y:0..490
0x2013 (8211): adv= 245 x:-116..224 y:-310..310
0x2014 (8212): adv= 457 x:-120..436 y:-310..283
0x2018 (8216): adv= 170 x:60..110 y:0..340
0x2019 (8217): adv= 875 x:60..815 y:-130..580
0x201a (8218): adv= 374 x:37..537 y:0..356
0x201c (8220): adv= 416 x:44..409 y:0..351
0x201d (8221): adv= 419 x:47..412 y:0..351
0x201e (8222): adv= 182 x:9..446 y:-210..350
0x2020 (8224): adv= 509 x:30..473 y:0..480
0x2021 (8225): adv= 306 x:-361..351 y:-329..302
0x2022 (8226): adv=  40 x:-419..-4 y:-417..-234
0x2026 (8230): adv= 411 x:32..379 y:0..346
0x2030 (8240): adv=  40 x:-432..-2 y:-380..-36
0x2039 (8249): adv=  40 x:0..304 y:327..606
0x203a (8250): adv= 404 x:0..5 y:0..5
0x2122 (8482): adv= 255 x:31..464 y:0..360
0x2219 (8729): adv= 600 x:100..500 y:-10..390
