# Shree-Tel-0908  glyphs=219  plat3 codes=217
# classes: ABOVE=16  BASE=166  BELOW=22  BLANK=1  DUMMY=9  MARK=3
# overhangBase=44  tallerTwin=17  runs=38

  0x0061 a       byte=0x5f BASE   adv=310  .D. bbox=(-102,-260)-(283,336)
  0x0062 b       byte=0x60 BASE   adv=239  O.. bbox=(9,-136)-(447,361)
  0x0063 c       byte=0x61 BASE   adv=481  ... bbox=(9,-136)-(442,425)
  0x0064 d       byte=0x62 BASE   adv=481  ..T bbox=(9,-121)-(442,535)
  0x0065 e       byte=0x63 BASE   adv=305  .D. bbox=(-107,-298)-(278,341)
  0x0066 f       byte=0x64 BASE   adv=497  ... bbox=(41,0)-(464,355)
  0x0067 g       byte=0x65 BASE   adv=292  O.. bbox=(42,0)-(455,360)
  0x0068 h       byte=0x66 BASE   adv=506  ... bbox=(42,0)-(485,500)
  0x0069 i       byte=0x67 BASE   adv=505  ..T bbox=(41,0)-(484,615)
  0x006a j       byte=0x68 BELOW  adv=40   .D. bbox=(-426,-303)-(-60,-15)
--- run  7  [0x6b 0x6c 0x6d 0x6e 0x6f 0x70 0x71]
  0x006b k       byte=0x69 BASE   adv=638  ... bbox=(42,0)-(619,356)
  0x006c l       byte=0x6a BASE   adv=868  ... bbox=(41,0)-(848,375)
  0x006d m       byte=0x6b BASE   adv=884  ... bbox=(32,-96)-(850,491)
  0x006e n       byte=0x6c BASE   adv=269  ... bbox=(-60,-96)-(229,355)
  0x006f o       byte=0x6d BASE   adv=367  O.. bbox=(-71,301)-(387,483)
  0x0070 p       byte=0x6e BASE   adv=399  O.. bbox=(14,-48)-(592,356)
  0x0071 q       byte=0x6f BELOW  adv=40   .D. bbox=(-470,-308)-(-60,-10)
--- run  8  [0x72 0x73 0x74]
  0x0072 r       byte=0x70 BASE   adv=563  ... bbox=(36,0)-(527,402)
  0x0073 s       byte=0x71 BASE   adv=362  O.. bbox=(36,0)-(527,392)
  0x0074 t       byte=0x72 BELOW  adv=40   .D. bbox=(-457,-308)-(-60,-20)
--- run  9  [0x75 0x76 0x77 0x78]
  0x0075 u       byte=0x73 BASE   adv=206  O.. bbox=(32,0)-(379,349)
  0x0076 v       byte=0x74 BASE   adv=418  ... bbox=(36,0)-(383,514)
  0x0077 w       byte=0x75 BASE   adv=418  ..T bbox=(35,0)-(382,625)
  0x0078 x       byte=0x76 BELOW  adv=40   .D. bbox=(-349,-308)-(-60,-20)
--- run 10  [0x79 0x7a]
  0x0079 y       byte=0x77 BASE   adv=267  O.. bbox=(34,0)-(486,360)
  0x007a z       byte=0x78 BELOW  adv=40   .D. bbox=(-473,-304)-(-60,-25)
--- run 11  [0x7b 0x7c]
  0x007b {       byte=0x79 BASE   adv=171  OD. bbox=(60,-169)-(268,341)
  0x007c |       byte=0x7a BELOW  adv=40   .D. bbox=(-473,-368)-(-60,-30)
--- run 12  [0x7d 0x7e]
  0x007d }       byte=0x7b BASE   adv=522  .D. bbox=(16,-183)-(514,585)
  0x007e ~       byte=0x7c BELOW  adv=40   .D. bbox=(-426,-291)-(-60,-30)
--- run 13  [0xa1 0xa2]
